Date;Lights [kWh];Total [kWh]
14/12/2021 23:00;36,8976275;71,69830556
15/12/2021 23:00;33,43374055;66,06152278
16/12/2021 23:00;31,924315;61,32604472
17/12/2021 23:00;20,22036722;40,35198556
18/12/2021 23:00;18,2602675;37,73132972
19/12/2021 23:00;34,60135305;68,77950139
20/12/2021 23:00;40,17384111;75,70534194
21/12/2021 23:00;43,71279972;80,73304306
22/12/2021 23:00;38,59980611;72,10344805
23/12/2021 23:00;22,46742361;42,98724778
24/12/2021 23:00;23,33885028;44,63825194
25/12/2021 23:00;22,92864639;43,69634111
26/12/2021 23:00;28,08449445;56,44655222
27/12/2021 23:00;33,42775555;64,44403555
28/12/2021 23:00;31,08225556;59,42701611
29/12/2021 23:00;27,11321861;51,17366972
30/12/2021 23:00;24,26954944;45,27570194
31/12/2021 23:00;24,35817389;45,31917417
1/1/2022 23:00;24,30285;45,50459028
2/1/2022 23:00;31,32543056;59,3144725
3/1/2022 23:00;31,06012111;60,80413472
4/1/2022 23:00;32,71882417;64,40036333
5/1/2022 23:00;26,75767611;47,55768444
6/1/2022 23:00;40,79817778;77,24615472
7/1/2022 23:00;23,44224694;45,68771694
8/1/2022 23:00;20,86030278;39,96927806
9/1/2022 23:00;39,54063361;74,38134944
10/1/2022 23:00;43,05011139;77,30019667
11/1/2022 23:00;41,05948361;75,64365306
12/1/2022 23:00;39,68307;73,04075333
13/1/2022 23:00;37,64351;70,61043111
14/1/2022 23:00;25,9198525;45,56423972
15/1/2022 23:00;24,67814194;42,91298139
16/1/2022 23:00;38,34957361;73,00119389
17/1/2022 23:00;39,71005055;77,02628194
18/1/2022 23:00;41,40864389;76,25451722
19/1/2022 23:00;41,88655278;72,94969222
20/1/2022 23:00;40,90857833;75,42437694
21/1/2022 23:00;27,12748722;48,7252575
22/1/2022 23:00;26,55520222;46,15166806
23/1/2022 23:00;43,08483528;80,7767975
24/1/2022 23:00;37,20537861;78,8583
25/1/2022 23:00;35,22723389;72,02730083
26/1/2022 23:00;34,00288306;65,42637806
27/1/2022 23:00;39,33442278;77,17814222
28/1/2022 23:00;29,45983389;54,24351972
29/1/2022 23:00;25,11199694;48,41769889
30/1/2022 23:00;38,85426528;78,4657225
31/1/2022 23:00;34,2285525;64,86426472
1/2/2022 23:00;35,37358972;65,99947639
2/2/2022 23:00;33,77903972;66,29119806
3/2/2022 23:00;33,91006556;62,71721667
4/2/2022 23:00;23,53563694;42,14810778
5/2/2022 23:00;23,21472361;41,75690083
6/2/2022 23:00;33,71200611;64,98692583
7/2/2022 23:00;36,85420861;69,24281222
8/2/2022 23:00;40,4105875;72,74412611
9/2/2022 23:00;34,81746;70,27396361
10/2/2022 23:00;38,88801667;70,40143639
11/2/2022 23:00;27,24933583;48,38142389
12/2/2022 23:00;25,06544472;45,08204
13/2/2022 23:00;39,38810472;72,47849722
14/2/2022 23:00;40,94062833;75,10888028
15/2/2022 23:00;39,75456528;70,78244611
16/2/2022 23:00;41,90370639;71,166385
17/2/2022 23:00;40,60972389;73,62516778
18/2/2022 23:00;28,28717639;49,35773639
19/2/2022 23:00;25,96188389;42,91387472
20/2/2022 23:00;40,17065111;69,33715417
21/2/2022 23:00;39,73378333;70,96427278
22/2/2022 23:00;39,69323667;70,96315806
23/2/2022 23:00;39,13587833;67,03721167
24/2/2022 23:00;36,98618611;64,87518389
25/2/2022 23:00;25,14598944;45,54632722
26/2/2022 23:00;24,92395889;45,15453055
27/2/2022 23:00;39,89580806;67,38779695
28/2/2022 23:00;39,95720083;68,12793444
1/3/2022 23:00;42,94508083;74,29496694
2/3/2022 23:00;42,82409639;71,75196639
3/3/2022 23:00;39,46359028;70,44957778
4/3/2022 23:00;25,49115694;45,43966806
5/3/2022 23:00;25,86261472;46,06628639
6/3/2022 23:00;25,93866472;46,23349639
7/3/2022 23:00;40,03369667;71,13428472
8/3/2022 23:00;41,41865111;73,220405
9/3/2022 23:00;38,59968556;69,28667333
10/3/2022 23:00;41,42010028;73,755015
11/3/2022 23:00;25,62189417;46,64257806
12/3/2022 23:00;25,18936972;45,22092194
13/3/2022 23:00;38,70367195;73,02042111
14/3/2022 23:00;39,46484639;68,58886528
15/3/2022 23:00;41,3196725;72,8267
16/3/2022 23:00;40,04749417;69,51113694
17/3/2022 23:00;40,09170222;65,37013944
18/3/2022 23:00;23,79949833;41,70710278
19/3/2022 23:00;23,20064667;40,06124305
20/3/2022 23:00;35,41372611;61,15528722
21/3/2022 23:00;36,11575639;66,71092972
22/3/2022 23:00;38,48722417;72,257795
23/3/2022 23:00;37,90446083;71,82817833
24/3/2022 23:00;27,19928944;46,7345825
25/3/2022 23:00;27,71525778;47,99185889
26/3/2022 23:00;26,38383722;44,40724333
28/3/2022 0:00;42,7293125;71,80600583
29/3/2022 0:00;40,01824722;65,41703694
30/3/2022 0:00;38,08440306;66,32259639
31/3/2022 0:00;37,96940667;67,37122333
1/4/2022 0:00;24,87467361;44,05343
2/4/2022 0:00;24,95841194;44,34645945
3/4/2022 0:00;24,35097639;43,01129722
4/4/2022 0:00;35,1940875;63,98377639
5/4/2022 0:00;38,24666583;69,06165639
6/4/2022 0:00;38,27545028;67,94415805
7/4/2022 0:00;38,63160611;68,27701222
8/4/2022 0:00;40,90772583;71,09732167
9/4/2022 0:00;26,64523583;48,83197306
10/4/2022 0:00;26,88453833;46,80515194
11/4/2022 0:00;40,08619222;68,37078694
12/4/2022 0:00;38,28942028;64,43318417
13/4/2022 0:00;39,97967111;70,89194694
14/4/2022 0:00;38,15277861;67,61624972
15/4/2022 0:00;37,42336917;67,37657444
16/4/2022 0:00;25,25496528;46,705825
17/4/2022 0:00;25,16773028;48,39740833
18/4/2022 0:00;35,4808675;62,93950222
19/4/2022 0:00;34,82416417;62,01914722
20/4/2022 0:00;37,71971389;63,19576083
21/4/2022 0:00;38,162685;61,07765778
22/4/2022 0:00;27,26878389;42,34724528
23/4/2022 0:00;28,16285389;44,36367861
24/4/2022 0:00;27,60087833;43,19357083
25/4/2022 0:00;27,20968472;42,52804583
26/4/2022 0:00;26,72120222;41,43345944
27/4/2022 0:00;34,72713056;60,32088889
28/4/2022 0:00;34,52964111;62,02607389
29/4/2022 0:00;36,19504028;62,51980306
30/4/2022 0:00;34,30799667;53,53653805
1/5/2022 0:00;27,60908167;43,30561056
2/5/2022 0:00;39,59677417;64,91418694
3/5/2022 0:00;34,17271833;56,9451525
4/5/2022 0:00;38,28630694;66,56389167
5/5/2022 0:00;37,25454389;65,75154222
6/5/2022 0:00;36,23000667;62,41152056
7/5/2022 0:00;24,79394167;40,73266556
8/5/2022 0:00;24,27220472;38,22683778
9/5/2022 0:00;37,95512083;65,87998278
10/5/2022 0:00;32,67485611;55,25805583
11/5/2022 0:00;40,34480333;67,12894
12/5/2022 0:00;36,68522222;62,05010222
13/5/2022 0:00;35,65221389;61,98978111
14/5/2022 0:00;22,67455583;38,00117778
15/5/2022 0:00;22,33619333;37,14581611
16/5/2022 0:00;37,58177889;64,42011139
17/5/2022 0:00;36,27687083;61,47734056
18/5/2022 0:00;37,13808889;66,77408083
19/5/2022 0:00;39,03324528;67,87259611
20/5/2022 0:00;39,38792778;67,41336139
21/5/2022 0:00;24,71442833;41,924215
22/5/2022 0:00;23,75834055;40,23347806
23/5/2022 0:00;38,12716306;68,579145
24/5/2022 0:00;38,69929694;65,04599111
25/5/2022 0:00;38,87209528;66,0177675
26/5/2022 0:00;37,00458583;66,33650528
27/5/2022 0:00;36,20580083;64,48379139
28/5/2022 0:00;25,39621139;45,37687417
29/5/2022 0:00;23,24813305;42,41184444
30/5/2022 0:00;39,71992667;69,89063695
31/5/2022 0:00;36,04409444;60,49342667
1/6/2022 0:00;36,86477028;66,48490472
2/6/2022 0:00;37,82652278;66,92509639
3/6/2022 0:00;36,33916417;64,85902167
4/6/2022 0:00;27,93133611;46,13373611
5/6/2022 0:00;26,84675778;41,70187389
6/6/2022 0:00;39,28075778;65,09759194
7/6/2022 0:00;39,176435;67,20757972
8/6/2022 0:00;39,30284028;66,18282583
9/6/2022 0:00;38,20269694;64,87426889
10/6/2022 0:00;36,55469667;65,88663945
11/6/2022 0:00;24,49865139;42,37468472
12/6/2022 0:00;23,93015972;40,81569278
13/6/2022 0:00;24,38563917;44,58072917
14/6/2022 0:00;41,72549111;76,46352833
15/6/2022 0:00;37,78696111;69,14440417
16/6/2022 0:00;36,93694833;67,78501861
17/6/2022 0:00;36,01205917;61,08775083
18/6/2022 0:00;24,29632056;41,40525667
19/6/2022 0:00;23,51575278;39,99216556
20/6/2022 0:00;37,96500111;70,17781944
21/6/2022 0:00;37,91737639;69,81556583
22/6/2022 0:00;38,47927139;71,21133583
23/6/2022 0:00;38,26155361;72,15767111
24/6/2022 0:00;40,35867528;70,7815075
25/6/2022 0:00;29,22907695;52,036545
26/6/2022 0:00;29,87789333;51,34239056
27/6/2022 0:00;35,79442639;60,39922222
28/6/2022 0:00;34,77007028;63,4023975
29/6/2022 0:00;34,77937694;63,50977861
30/6/2022 0:00;36,36873361;67,47260861
1/7/2022 0:00;35,23805917;65,73745028
2/7/2022 0:00;24,28947417;42,14194028
3/7/2022 0:00;24,07554944;42,03261639
4/7/2022 0:00;40,11720028;82,92562139
5/7/2022 0:00;37,84673861;74,26412917
6/7/2022 0:00;36,0098425;68,98568278
7/7/2022 0:00;35,14726806;62,75216139
