Date,Ground floor,First floor,Second floor
6/23/2022,314.2424467,70.35536139,143.8639347
6/24/2022,321.062385,37.75684194,146.0487289
6/25/2022,220.1602147,28.50463472,74.52526917
6/26/2022,224.2557511,32.10245611,66.74721306
6/27/2022,255.4313347,34.10771361,106.8838922
6/28/2022,269.3943506,37.28394806,110.5512258
6/29/2022,279.0589089,38.24823555,113.9027575
6/30/2022,279.8187514,45.17331056,132.3757
7/1/2022,286.7401603,41.18379444,127.1336361
7/2/2022,196.6564658,38.97128056,47.10376555
7/3/2022,199.8689503,39.94955694,46.88735945
7/4/2022,443.6051311,45.25993889,191.3918761
7/5/2022,363.4039436,41.51891944,150.9570772
7/6/2022,378.1154753,44.31743028,143.6233
7/7/2022,325.5450306,43.0143225,128.8193511
7/8/2022,327.8580386,52.86480861,161.6517497
7/9/2022,244.6407028,40.74323861,69.20771
7/10/2022,172.3595806,37.17161139,50.48741472
7/11/2022,307.5194414,38.19426333,164.1133472
7/12/2022,331.415135,40.55222917,144.5944464
7/13/2022,304.1639722,39.14421722,166.4113847
7/14/2022,324.4777011,38.41126111,144.1772603
7/15/2022,328.6770817,41.01725333,142.5551386
7/16/2022,274.1663644,36.77770722,61.09588361
7/17/2022,184.2828014,39.39054806,48.11425583
7/18/2022,336.8708539,40.70866806,150.1273094
7/19/2022,337.5220339,50.09164417,150.0949153
7/20/2022,316.3032083,47.54319417,175.0987481
7/21/2022,317.0650117,24.01838889,147.872145
7/22/2022,306.10635,20.73323361,162.6358611
7/23/2022,189.7547739,14.22851944,71.63483389
7/24/2022,189.1702664,14.23754556,71.86648722
7/25/2022,300.4859239,25.86583583,172.1059528
7/26/2022,308.9200294,28.58908,180.5685153
7/27/2022,322.80939,23.47315972,159.8769019
7/28/2022,333.8347114,20.47812111,145.5655614
7/29/2022,334.9967453,21.36160806,148.3702436
7/30/2022,195.6940769,14.15327639,59.5391375
7/31/2022,194.1208219,14.20744305,49.17246306
8/1/2022,337.9557408,14.91495861,175.4624333
8/2/2022,352.7359056,25.37363278,165.9634353
8/3/2022,339.4978164,72.86204028,165.2794797
8/4/2022,314.6693475,16.17304528,171.1082417
8/5/2022,319.7674589,28.83255806,143.1757644
8/6/2022,197.0175386,26.68856528,48.80397889
8/7/2022,189.0371658,26.25944833,49.04304417
8/8/2022,245.365385,22.78705639,136.3127575
8/9/2022,264.0943775,23.05754806,140.6839492
8/10/2022,213.9623708,20.60467278,156.1726172
8/11/2022,265.1370922,26.56446445,127.8788144
8/12/2022,308.2221267,23.56437917,116.7666581
8/13/2022,197.2445472,14.22786583,51.29682417
8/14/2022,199.6366783,14.2507625,51.51593778
8/15/2022,191.9610447,14.24674361,51.46473694
8/16/2022,190.468625,14.23711306,50.58865083
8/17/2022,291.5121992,23.12755611,121.0501075
8/18/2022,268.3987792,21.07795028,124.2530728
8/19/2022,295.4149933,18.78180389,116.8810389
8/20/2022,182.3251314,14.25692555,52.11607556
8/21/2022,180.9099536,14.25310972,52.56813555
8/22/2022,324.5996436,23.33862,178.5996811
8/23/2022,310.7288753,23.55040889,154.4960158
8/24/2022,331.7685044,24.02686722,136.1553725
8/25/2022,255.6482819,21.83371306,131.522895
8/26/2022,247.8891461,35.38495333,124.2445039
8/27/2022,158.9179289,14.29438722,79.52023333
8/28/2022,160.9106494,14.27889194,48.05991333
8/29/2022,285.12466,29.63916583,178.4978769
8/30/2022,291.6450756,24.44244444,166.4725881
8/31/2022,293.1914236,23.86500194,186.2039461
9/1/2022,327.039775,20.6018025,152.3552619
9/2/2022,300.0009989,18.28870333,153.639625
9/3/2022,276.0519064,13.98958306,52.20299417
9/4/2022,246.0452875,14.03125417,47.02693139
9/5/2022,351.7115408,68.75860444,186.9248061
9/6/2022,398.8691861,21.42977028,165.3550753
9/7/2022,357.7750942,72.17068306,156.6755658
9/8/2022,354.5987711,19.81947778,146.7801894
9/9/2022,328.2423108,21.58210389,140.5966161
9/10/2022,188.1833947,13.37434917,59.08895889
9/11/2022,179.3401244,13.39605472,47.83223417
9/12/2022,368.9049125,19.46780833,172.9491978
9/13/2022,347.2752789,20.18541195,151.6964711
9/14/2022,370.4620889,78.09537083,156.2621003
9/15/2022,339.5942447,63.82998139,145.0214806
9/16/2022,335.4954022,59.26087222,131.704075
9/17/2022,178.7404586,55.61985722,51.89754972
9/18/2022,173.3793883,55.11412722,45.06881972
9/19/2022,347.9539547,69.49547833,171.2571322
9/20/2022,345.9680122,59.50253333,149.2721758
9/21/2022,335.84227,65.50419611,138.7003931
9/22/2022,297.5356828,43.41528028,128.3939158
9/23/2022,267.0900492,30.49633194,121.4034442
9/24/2022,160.5384819,13.54619889,57.08437222
9/25/2022,163.2815514,13.50654833,45.79585694
9/26/2022,287.4897303,84.91032611,148.6538053
9/27/2022,305.0949706,97.40566194,146.1046981
9/28/2022,309.8137656,134.6785308,110.7909542
9/29/2022,347.2444258,62.24496195,157.0026111
9/30/2022,348.3583642,58.16120389,153.9092539
10/1/2022,229.4221442,55.37102444,84.10937083
10/2/2022,181.3117519,60.89674722,85.78458417
10/3/2022,413.7086167,97.04697778,147.7308847
10/4/2022,414.1884314,115.2429058,119.9885208
10/5/2022,390.5423633,89.32550917,133.8682542
10/6/2022,352.4549633,90.93429222,126.5958581
10/7/2022,291.9185344,42.76929194,116.9286503
10/8/2022,164.5944533,14.803175,48.11493778
10/9/2022,163.4391169,16.02199306,46.00866167
10/10/2022,299.3559953,64.19261583,111.8047511
10/11/2022,329.0782872,77.30401333,109.1617678
10/12/2022,328.1209333,76.89057139,106.8906719
10/13/2022,313.1694781,98.31090056,115.2569258
10/14/2022,311.58855,63.91450389,89.2735775
10/15/2022,162.0187372,44.52320417,47.68878361
10/16/2022,161.883985,28.50599111,47.20524417
10/17/2022,267.0692181,51.50590556,74.810415
10/18/2022,291.6070817,89.01238,90.7992175
10/19/2022,302.6920633,84.71837833,97.57435472
10/20/2022,276.3039364,70.81941139,97.03934861
10/21/2022,260.6832972,43.81343694,95.45294194
10/22/2022,149.706565,23.24808555,53.79546833
10/23/2022,140.9423014,23.26081056,46.79090639
10/24/2022,257.6761761,49.99596361,88.73840444
10/25/2022,275.17439,61.34429472,96.36951583
10/26/2022,286.2717969,78.75125278,86.14387278
10/27/2022,287.3538781,55.45835222,103.2908506
10/28/2022,149.9174944,23.93861972,45.64882083
10/29/2022,143.2928792,23.15750611,45.69976417
10/30/2022,140.7476319,22.45342917,45.78728722
10/31/2022,275.3349886,50.57417056,85.61256556
11/1/2022,272.9466728,51.08395445,83.75374167
11/2/2022,294.4402153,87.64596611,109.0030169
11/3/2022,253.8164133,70.35018528,78.96690139
11/4/2022,257.014295,40.39897667,84.07178833
11/5/2022,137.8018381,15.91400583,59.36967278
11/6/2022,126.4662053,15.87422722,57.02913167
11/7/2022,247.3104372,34.02322861,87.25071639
11/8/2022,244.4267783,66.32732028,82.00201361
11/9/2022,238.7030828,56.59892556,75.63244778
11/10/2022,231.4892261,62.03858195,74.35577778
11/11/2022,227.90034,52.10247361,68.43759694
11/12/2022,119.2543619,28.95412639,45.51543028
11/13/2022,119.1838942,28.63772306,44.68524222
11/14/2022,226.7129481,56.71562833,76.172225
11/15/2022,232.2957106,52.21938722,75.29638722
11/16/2022,230.3489903,38.97660111,70.42012944
11/17/2022,228.3020642,49.21400639,65.5990175
11/18/2022,222.7492339,47.54968056,60.25573278
11/19/2022,119.13836,23.21041278,45.638535
11/20/2022,116.1702058,23.91450889,44.38719611
11/21/2022,242.7451561,46.34753111,70.88797667
11/22/2022,237.8138794,37.28549167,81.221145
11/23/2022,226.8010525,43.45386139,76.28425528
11/24/2022,221.7020622,34.538105,69.68491028
11/25/2022,206.9110189,27.92472722,79.87632556
11/26/2022,131.8592631,17.08928472,57.59015139
11/27/2022,105.4721469,18.76013972,49.31785972
11/28/2022,217.4176431,25.69321695,75.51280806
11/29/2022,215.4628044,40.11955278,77.24539583
11/30/2022,209.6604211,47.954155,73.97505528
